name,year,selling_price,km_driven,fuel,Company
Tata Indigo CS,2008,99000,205000,Diesel,Tata
Hyundai i10 Asta,2008,215000,70000,Petrol,Hyundai
Renault Duster 110PS,2013,520000,126000,Diesel,Renault
Ford Endeavour 3.2,2016,2280000,120000,Diesel,Ford
Tata Indica Vista,2015,285000,70000,Diesel,Tata
Mahindra TUV 300,2017,660000,82000,Diesel,Mahindra
Maruti Swift Dzire,2015,515000,45000,Petrol,Maruti
Mahindra Scorpio Intelli,2017,1100000,45000,Diesel,Mahindra
Hyundai EON 1.0,2017,300000,60000,Petrol,Hyundai
Maruti Swift VXI,2013,450000,41800,Petrol,Maruti
Maruti Swift Dzire,2017,700000,50000,Diesel,Maruti
Ford Figo Diesel,2012,250000,40000,Diesel,Ford
Maruti Wagon R,2009,140000,96000,Petrol,Maruti
Mahindra Xylo D4,2012,250000,117000,Diesel,Mahindra
Hyundai i10 Era,2011,210000,110000,Petrol,Hyundai
Honda Amaze S,2014,420000,100000,Diesel,Honda
Maruti Alto LXi,2007,130000,88700,Petrol,Maruti
Maruti Wagon R,2010,200000,110000,Petrol,Maruti
Maruti Alto 800,2016,310000,15000,Petrol,Maruti
Mahindra Verito 1.5,2012,200000,80000,Diesel,Mahindra
Maruti Ritz VXi,2014,350000,50000,Petrol,Maruti
Hyundai EON Sportz,2018,444000,15000,Petrol,Hyundai
Mahindra Verito 1.5,2011,225000,57000,Diesel,Mahindra
Mahindra Bolero 2011-2019,2012,600000,75000,Diesel,Mahindra
Maruti Eeco 5,2013,260000,26000,Petrol,Maruti
Hyundai Xcent 1.1,2015,375000,160000,Diesel,Hyundai
Maruti Alto LXi,2010,150000,120000,Petrol,Maruti
Maruti Alto LXi,2014,110000,50000,Petrol,Maruti
Maruti Alto LX,2012,225000,40000,Petrol,Maruti
Honda City i,2017,860000,28000,Petrol,Honda
Maruti Swift Dzire,2018,650000,50000,Diesel,Maruti
Maruti Ertiga ZDI,2014,650000,90000,Diesel,Maruti
Hyundai Verna 1.4,2016,710000,40000,Diesel,Hyundai
Ford Figo 1.5D,2017,430000,113000,Diesel,Ford
Maruti Swift Vdi,2011,305000,188000,Diesel,Maruti
Ford Figo Diesel,2011,220000,100000,Diesel,Ford
Tata Sumo MKII,2010,150000,225000,Diesel,Tata
Mahindra TUV 300,2017,660000,67000,Diesel,Mahindra
Chevrolet Beat Diesel,2011,140000,70000,Diesel,Chevrolet
Toyota Corolla Altis,2015,1100000,50000,Petrol,Toyota
Volkswagen Ameo 1.5,2017,625000,34000,Diesel,Volkswagen
Honda City Corporate,2012,540000,100000,Petrol,Honda
Hyundai Grand i10,2017,550000,10000,Petrol,Hyundai
Maruti Celerio ZXI,2018,475000,30000,Petrol,Maruti
Honda Civic ZX,2020,2125000,5500,Diesel,Honda
Toyota Innova Crysta,2018,1800000,20000,Diesel,Toyota
Hyundai Santro Asta,2018,540000,7000,Petrol,Hyundai
Maruti Celerio VXI,2019,484999,4875,Petrol,Maruti
Hyundai Creta 1.6,2020,1950000,2700,Diesel,Hyundai
Maruti Vitara Brezza,2018,950000,58511,Diesel,Maruti
Ford Figo 1.5D,2015,365000,105000,Diesel,Ford
Mahindra Thar CRDe,2018,900000,26235,Diesel,Mahindra
Tata Nexon 1.5,2017,919999,26766,Diesel,Tata
Mahindra Marazzo M2,2019,1075000,23000,Diesel,Mahindra
Maruti Swift VXI,2017,600000,24522,Petrol,Maruti
Maruti Vitara Brezza,2016,839000,63000,Diesel,Maruti
Volkswagen Polo 1.2,2019,635000,2000,Petrol,Volkswagen
Mahindra Scorpio VLX,2014,550000,300000,Diesel,Mahindra
Mahindra Logan Diesel,2011,180000,190000,Diesel,Mahindra
Honda City i,2015,650000,80000,Diesel,Honda
Honda Jazz Select,2011,350000,80000,Petrol,Honda
Maruti Alto K10,2015,265000,54000,Petrol,Maruti
Renault KWID 1.0,2018,330000,30000,Petrol,Renault
Maruti Eeco 7,2019,395000,5000,Petrol,Maruti
Mahindra TUV 300,2015,700000,58945,Diesel,Mahindra
Ford Figo Diesel,2012,300000,90000,Diesel,Ford
Toyota Innova 2.5,2011,650000,375000,Diesel,Toyota
Maruti Ertiga VDI,2013,625000,160000,Diesel,Maruti
Volkswagen Polo GT,2014,425000,80000,Diesel,Volkswagen
Tata Indigo CS,2015,250000,80000,Diesel,Tata
Mahindra Bolero 2011-2019,2015,459999,156975,Diesel,Mahindra
Toyota Corolla Altis,2017,1594000,5000,Diesel,Toyota
Chevrolet Sail 1.2,2014,300000,50000,Petrol,Chevrolet
Ford EcoSport 1.5,2018,950000,27620,Diesel,Ford
Mahindra Scorpio LX,2013,484999,120000,Diesel,Mahindra
Mahindra Xylo E8,2009,161000,120000,Diesel,Mahindra
Hyundai i20 Active,2015,500000,58000,Petrol,Hyundai
Maruti Ignis 1.2,2017,550000,40000,Petrol,Maruti
Honda WR-V i-VTEC,2018,850000,7800,Petrol,Honda
Ford Endeavour 2.5L,2011,950000,68000,Diesel,Ford
Maruti Ertiga VXI,2015,423000,60000,Petrol,Maruti
Tata New Safari,2011,350000,58000,Diesel,Tata
Maruti A-Star Vxi,2011,170000,70000,Petrol,Maruti
Ford Figo Aspire,2015,450000,70000,Petrol,Ford
Hyundai i10 Magna,2009,150000,110000,Petrol,Hyundai
Hyundai i20 Sportz,2016,511000,80000,Diesel,Hyundai
Maruti Ertiga 1.5,2018,850000,59000,Diesel,Maruti
Tata Indica V2,2018,250000,110000,Diesel,Tata
Maruti Celerio ZXI,2020,420000,25000,Petrol,Maruti
Maruti Alto 800,2014,180000,55000,Petrol,Maruti
Maruti Celerio ZDi,2015,400000,25000,Diesel,Maruti
Mahindra Xylo E4,2009,150000,300000,Diesel,Mahindra
Ford Figo 1.5D,2016,500000,143200,Diesel,Ford
Maruti Ciaz VDi,2014,459999,145000,Diesel,Maruti
Hyundai i20 2015-2017,2017,600000,30000,Petrol,Hyundai
Hyundai Grand i10,2019,585000,8000,Petrol,Hyundai
Ford Endeavour 2.5L,2012,551000,170000,Diesel,Ford
Maruti Swift Dzire,2013,525000,100000,Diesel,Maruti
Maruti Omni 8,2012,160000,62000,Petrol,Maruti
Mahindra XUV500 W8,2014,825000,110000,Diesel,Mahindra
Chevrolet Tavera Neo,2015,600000,80000,Diesel,Chevrolet
Maruti Swift Dzire,2013,550000,100000,Diesel,Maruti
Mahindra Bolero 2011-2019,2015,650000,120000,Diesel,Mahindra
Maruti Swift Dzire,2019,750000,24000,Diesel,Maruti
Mahindra KUV 100,2017,380000,80000,Diesel,Mahindra
Hyundai Verna 1.6,2012,400000,138000,Diesel,Hyundai
Mahindra TUV 300,2017,750000,60000,Diesel,Mahindra
Chevrolet Spark 1.0,2011,150000,80000,Petrol,Chevrolet
Maruti Alto 800,2016,245000,50000,Petrol,Maruti
Tata Manza Club,2013,260000,189000,Diesel,Tata
Volkswagen Vento 1.5,2014,411000,90000,Diesel,Volkswagen
Hyundai i20 Sportz,2014,450000,56000,Diesel,Hyundai
Maruti Celerio VXI,2016,351000,60000,Petrol,Maruti
Mahindra XUV500 W8,2012,550000,130000,Diesel,Mahindra
Tata New Safari,2011,350000,156000,Diesel,Tata
Maruti Alto 800,2013,200000,90000,Petrol,Maruti
Tata Indigo LS,2008,150000,60000,Diesel,Tata
Hyundai EON Era,2017,350000,20000,Petrol,Hyundai
Tata New Safari,2011,350000,160000,Diesel,Tata
Mahindra Scorpio 2.6,2006,250000,185000,Diesel,Mahindra
Tata Indica Vista,2010,170000,110000,Diesel,Tata
Renault KWID RXT,2018,395000,10800,Petrol,Renault
Mahindra Bolero 2011-2019,2012,450000,120000,Diesel,Mahindra
Maruti Ignis 1.2,2019,500000,15000,Petrol,Maruti
Tata Hexa XM,2017,1200000,30000,Diesel,Tata
Mahindra KUV 100,2016,400000,50000,Diesel,Mahindra
Mahindra TUV 300,2016,650000,100000,Diesel,Mahindra
Mahindra Bolero 2011-2019,2016,550000,150000,Diesel,Mahindra
Mahindra XUV500 W10,2015,1100000,110000,Diesel,Mahindra
Maruti Alto 800,2012,254999,30000,Petrol,Maruti
Maruti Alto LXi,2011,180000,60000,Petrol,Maruti
Mahindra Xylo D2,2010,160000,255000,Diesel,Mahindra
Chevrolet Optra Magnum,2008,225000,120000,Diesel,Chevrolet
Maruti Alto 800,2015,270000,49900,Petrol,Maruti
Tata Manza Aura,2012,310000,86000,Diesel,Tata
Maruti Swift Dzire,2008,250000,70000,Petrol,Maruti
Hyundai EON Sportz,2011,180000,35000,Petrol,Hyundai
Maruti Swift Dzire,2015,550000,50000,Petrol,Maruti
Mahindra Bolero XL,2007,300000,120000,Diesel,Mahindra
Hyundai Elantra CRDi,2015,900000,145000,Diesel,Hyundai
Mahindra XUV500 W9,2018,1530000,40000,Diesel,Mahindra
Maruti Baleno Delta,2015,590000,110000,Diesel,Maruti
Maruti Ritz VDi,2016,475000,110000,Diesel,Maruti
Hyundai Grand i10,2018,700000,29000,Diesel,Hyundai
Maruti Wagon R,2011,376000,60000,Petrol,Maruti
Mahindra Scorpio VLS,2012,440000,120000,Diesel,Mahindra
Maruti Wagon R,2016,390000,80000,Petrol,Maruti
Toyota Innova 2.5,2012,725000,159000,Diesel,Toyota
Mahindra Bolero 2011-2019,2012,325000,110000,Diesel,Mahindra
Maruti Alto LXi,2010,170000,75000,Petrol,Maruti
Maruti Swift Dzire,2010,215000,120000,Diesel,Maruti
Honda City 1.5,2010,350000,110000,Petrol,Honda
Chevrolet Spark 1.0,2009,80000,80000,Petrol,Chevrolet
Hyundai EON Magna,2012,195000,80000,Petrol,Hyundai
Mahindra XUV500 W6,2011,475000,108000,Diesel,Mahindra
Renault Duster 85PS,2015,484999,75000,Diesel,Renault
Maruti Ciaz Delta,2018,650000,22000,Petrol,Maruti
Hyundai i20 1.2,2018,700000,30000,Petrol,Hyundai
Mahindra Scorpio S3,2018,900000,60000,Diesel,Mahindra
Volkswagen Polo Diesel,2013,350000,80000,Diesel,Volkswagen
Maruti Vitara Brezza,2017,750000,51777,Diesel,Maruti
Honda Amaze V,2018,600000,20000,Petrol,Honda
Volkswagen Polo 2015-2019,2018,565000,19000,Petrol,Volkswagen
Ford EcoSport 1.5,2016,650000,50000,Diesel,Ford
Hyundai Creta 1.6,2015,822000,60000,Diesel,Hyundai
Renault Duster 110PS,2013,345000,100000,Diesel,Renault
Maruti Swift VDI,2012,330000,50000,Diesel,Maruti
Maruti Wagon R,2014,300000,74537,Petrol,Maruti
Maruti SX4 ZXI,2009,200000,90000,Petrol,Maruti
Chevrolet Spark 1.0,2010,90000,70000,Petrol,Chevrolet
Maruti Wagon R,2010,200000,80000,Petrol,Maruti
Hyundai Xcent 1.1,2016,550000,35000,Diesel,Hyundai
Chevrolet Beat LT,2015,250000,23500,Petrol,Chevrolet
Honda City i-DTEC,2017,975000,82000,Diesel,Honda
Toyota Innova 2.5,2014,900000,100000,Diesel,Toyota
Hyundai i20 1.2,2018,610000,15000,Petrol,Hyundai
Maruti Baleno Zeta,2017,620000,30000,Diesel,Maruti
Hyundai Grand i10,2016,400000,30000,Petrol,Hyundai
Maruti Celerio X,2019,500000,11000,Petrol,Maruti
Tata Zest Quadrajet,2016,360000,110000,Diesel,Tata
Maruti Alto K10,2012,252000,48000,Petrol,Maruti
Maruti Swift VDI,2012,280000,70000,Diesel,Maruti
Maruti Swift VXI,2018,509999,70000,Petrol,Maruti
Mahindra Scorpio 1.99,2016,1050000,58000,Diesel,Mahindra
Mahindra Xylo E8,2010,320000,40000,Diesel,Mahindra
Mahindra Scorpio LX,2013,520000,110000,Diesel,Mahindra
Tata New Safari,2007,250000,80000,Diesel,Tata
Maruti Vitara Brezza,2017,725000,60000,Diesel,Maruti
Mahindra Bolero 2011-2019,2015,585000,50000,Diesel,Mahindra
Tata Tiago 1.2,2017,430000,25000,Petrol,Tata
Maruti Swift VDI,2011,235000,100000,Diesel,Maruti
Maruti Swift Dzire,2012,350000,52000,Diesel,Maruti
Hyundai i10 Era,2010,131000,80000,Petrol,Hyundai
Honda Amaze VX,2016,450000,85000,Diesel,Honda
Maruti Vitara Brezza,2016,750000,83000,Diesel,Maruti
Maruti Alto 800,2013,200000,50000,Petrol,Maruti
Maruti Wagon R,2009,125000,120000,Petrol,Maruti
Mahindra Bolero 2011-2019,2014,500000,100000,Diesel,Mahindra
Maruti Swift VDI,2012,380000,70000,Diesel,Maruti
Maruti Alto LXi,2008,128000,19000,Petrol,Maruti
Honda City 1.5,2009,250000,68600,Petrol,Honda
Mahindra Bolero Power,2017,690000,60000,Diesel,Mahindra
Mahindra Bolero 2011-2019,2014,650000,65000,Diesel,Mahindra
Honda City E,2012,560000,40000,Petrol,Honda
Maruti Celerio VXI,2016,400000,25000,Petrol,Maruti
Maruti Alto K10,2012,200000,29500,Petrol,Maruti
Hyundai Verna VTVT,2018,950000,13887,Petrol,Hyundai
Maruti Alto 800,2016,300000,50000,Petrol,Maruti
Renault KWID RXL,2016,315000,30000,Petrol,Renault
Maruti Alto 800,2012,220000,100000,Petrol,Maruti
Chevrolet Aveo 1.4,2011,130000,60000,Petrol,Chevrolet
Hyundai i20 Sportz,2016,595000,60000,Diesel,Hyundai
Tata Indica Vista,2011,110000,120000,Diesel,Tata
Ford EcoSport 1.5,2017,680000,13500,Petrol,Ford
Maruti Baleno Delta,2017,530000,30000,Petrol,Maruti
Hyundai Xcent 1.2,2017,610000,14000,Petrol,Hyundai
Tata Aria Pure,2014,500000,90000,Diesel,Tata
Tata Tigor 1.05,2018,500000,50000,Diesel,Tata
Mahindra Xylo D2,2010,250000,120000,Diesel,Mahindra
Hyundai EON Magna,2018,325000,10000,Petrol,Hyundai
Maruti Baleno Delta,2018,550000,10000,Petrol,Maruti
Maruti Ciaz 1.4,2018,720000,25000,Petrol,Maruti
Hyundai Verna VTVT,2017,950000,20000,Petrol,Hyundai
Maruti Swift VDI,2013,350000,60000,Diesel,Maruti
Hyundai Grand i10,2018,500000,40000,Petrol,Hyundai
Maruti Swift Dzire,2012,380000,60000,Diesel,Maruti
Hyundai Xcent 1.2,2015,380000,50000,Petrol,Hyundai
Hyundai Verna VTVT,2017,900000,20000,Petrol,Hyundai
Maruti Alto 800,2017,295000,35000,Petrol,Maruti
Maruti Ciaz VDi,2016,640000,40000,Diesel,Maruti
Tata Nexon 1.5,2018,790000,60000,Diesel,Tata
Hyundai Verna 1.6,2015,625000,20000,Petrol,Hyundai
Ford EcoSport 1.5,2017,604000,30000,Petrol,Ford
Maruti Alto K10,2015,315000,29000,Petrol,Maruti
Mahindra XUV300 W6,2019,950000,17000,Diesel,Mahindra
Maruti Wagon R,2017,400000,50000,Petrol,Maruti
Hyundai i20 1.4,2018,700000,42000,Petrol,Hyundai
Toyota Innova 2.5,2011,700000,120000,Diesel,Toyota
Mahindra Verito 1.5,2012,260000,110000,Diesel,Mahindra
Tata Indigo CR4,2012,200000,90000,Diesel,Tata
Maruti Dzire VXI,2020,580000,70000,Petrol,Maruti
Volkswagen Vento IPL,2011,330000,66000,Diesel,Volkswagen
Hyundai Verna Transform,2011,400000,70000,Diesel,Hyundai
Hyundai Creta 1.6,2018,1350000,5000,Petrol,Hyundai
Mahindra Verito 1.5,2014,250000,50000,Diesel,Mahindra
Maruti Swift Dzire,2013,300000,70000,Diesel,Maruti
Maruti 800 AC,2006,120000,40000,Petrol,Maruti
Mahindra XUV500 W10,2016,1175000,110000,Diesel,Mahindra
Tata New Safari,2009,380000,150000,Diesel,Tata
Tata Indica Vista,2014,400000,45000,Diesel,Tata
Tata New Safari,2011,229999,140000,Diesel,Tata
Volkswagen Jetta 2.0L,2011,550000,106000,Diesel,Volkswagen
Chevrolet Aveo U-VA,2008,150000,60000,Petrol,Chevrolet
Maruti Omni E,2017,265000,40000,Petrol,Maruti
Hyundai i20 1.2,2011,300000,138000,Petrol,Hyundai
Maruti Alto 800,2015,280000,80000,Petrol,Maruti
Chevrolet Sail 1.2,2015,350000,50000,Petrol,Chevrolet
Maruti Ritz VXi,2009,200000,120000,Petrol,Maruti
Maruti Swift VXI,2018,550000,24400,Petrol,Maruti
Mahindra Bolero 2011-2019,2013,400000,60000,Diesel,Mahindra
Maruti Ritz VXi,2010,170000,120000,Petrol,Maruti
Hyundai Verna 1.4,2015,600000,60000,Diesel,Hyundai
Maruti Alto LXi,2011,130000,100000,Petrol,Maruti
Maruti 800 AC,2011,100000,120000,Petrol,Maruti
Renault KWID RXT,2016,310000,27500,Petrol,Renault
Maruti 800 AC,2007,35000,10000,Petrol,Maruti
Hyundai i20 Magna,2010,200000,120000,Petrol,Hyundai
Hyundai i20 Sportz,2015,650000,80000,Diesel,Hyundai
Tata Indigo eCS,2013,210000,120000,Petrol,Tata
Hyundai Xcent 1.1,2015,509999,90000,Diesel,Hyundai
Ford Figo Diesel,2013,229999,70000,Diesel,Ford
Renault Duster 110PS,2014,409999,188000,Diesel,Renault
Chevrolet Spark 1.0,2011,130000,67840,Petrol,Chevrolet
Tata Nano CX,2013,95000,30000,Petrol,Tata
Maruti Alto 800,2016,225000,35000,Petrol,Maruti
Maruti Vitara Brezza,2017,775000,100000,Diesel,Maruti
Maruti Wagon R,2017,420000,30000,Petrol,Maruti
Hyundai Grand i10,2016,480000,70000,Petrol,Hyundai
Mahindra Bolero SLE,2010,260000,380000,Diesel,Mahindra
Volkswagen Polo 2015-2019,2018,600000,15000,Petrol,Volkswagen
Ford Ikon 1.4,2009,140000,140000,Diesel,Ford
Maruti Omni 8,2010,130000,120000,Petrol,Maruti
Maruti Swift VDI,2007,195000,112880,Diesel,Maruti
Tata Indica Vista,2013,210000,135000,Diesel,Tata
Maruti Wagon R,2006,130000,80000,Petrol,Maruti
Chevrolet Beat LT,2012,141000,128000,Petrol,Chevrolet
Mahindra Bolero SLE,2011,280000,120000,Diesel,Mahindra
Maruti SX4 ZXI,2010,350000,30000,Petrol,Maruti
Tata Nexon 1.2,2018,575000,70000,Petrol,Tata
Hyundai i20 Sportz,2015,550000,41000,Petrol,Hyundai
Maruti Alto LX,2006,120000,30000,Petrol,Maruti
Maruti Alto K10,2015,320000,30000,Petrol,Maruti
Hyundai Accent Executive,2011,250000,35000,Petrol,Hyundai
Maruti SX4 Zxi,2010,300000,22000,Petrol,Maruti
Maruti Wagon R,2006,250000,70000,Petrol,Maruti
Mahindra Bolero 2011-2019,2018,750000,70000,Diesel,Mahindra
Tata Safari DICOR,2011,300000,120000,Diesel,Tata
Maruti Ignis 1.2,2019,577000,3000,Petrol,Maruti
Maruti Alto K10,2012,229999,50000,Petrol,Maruti
Mahindra Bolero 2011-2019,2013,500000,50000,Diesel,Mahindra
Honda Jazz VX,2019,840000,1500,Petrol,Honda
Volkswagen Vento 1.5,2017,900000,74000,Diesel,Volkswagen
Honda Jazz 1.2,2017,650000,25000,Petrol,Honda
Honda Jazz 1.5,2016,650000,61915,Diesel,Honda
Hyundai EON Era,2016,250000,110000,Petrol,Hyundai
Volkswagen Polo 1.5,2016,550000,70000,Diesel,Volkswagen
Maruti Swift Ldi,2007,250000,150000,Diesel,Maruti
Mahindra Quanto C4,2013,350000,110000,Diesel,Mahindra
Chevrolet Beat Diesel,2014,185000,90000,Diesel,Chevrolet
Ford Figo Petrol,2010,229999,120000,Petrol,Ford
Toyota Innova 2.5,2016,1000000,65000,Diesel,Toyota
Maruti Wagon R,2019,490000,10000,Petrol,Maruti
Hyundai i10 Sportz,2009,150000,80000,Petrol,Hyundai
Maruti Ertiga VDI,2013,600000,184000,Diesel,Maruti
Maruti SX4 Zxi,2008,150000,89000,Petrol,Maruti
Maruti Swift VDI,2013,525000,69000,Diesel,Maruti
Tata Indica V2,2012,83000,90000,Diesel,Tata
Hyundai EON Era,2017,300000,8000,Petrol,Hyundai
Hyundai i20 1.2,2012,350000,35000,Petrol,Hyundai
Hyundai i20 1.2,2011,300000,45000,Petrol,Hyundai
Maruti 800 Std,2006,114999,59000,Petrol,Maruti
Maruti Ertiga VXI,2018,700000,6200,Petrol,Maruti
Maruti Celerio X,2020,250000,120000,Petrol,Maruti
Maruti Wagon R,2016,350000,70000,Petrol,Maruti
Mahindra Scorpio S2,2017,850000,110000,Diesel,Mahindra
Chevrolet Spark 1.0,2007,90000,93000,Petrol,Chevrolet
Maruti Alto LX,2007,135000,57000,Petrol,Maruti
Maruti Swift Dzire,2009,240000,120000,Petrol,Maruti
Hyundai Creta 1.4,2018,946000,60000,Diesel,Hyundai
Tata Indigo eCS,2011,215000,70000,Diesel,Tata
Honda Amaze S,2013,310000,100000,Diesel,Honda
Hyundai i10 Magna,2008,220000,35000,Petrol,Hyundai
Maruti Swift Vdi,2008,195000,90000,Diesel,Maruti
Hyundai i20 Active,2015,650000,50000,Petrol,Hyundai
Hyundai i20 1.2,2011,350000,98000,Petrol,Hyundai
Hyundai i20 Asta,2013,360000,30000,Petrol,Hyundai
Hyundai Elantra SX,2013,550000,50000,Petrol,Hyundai
Hyundai Grand i10,2016,490000,26000,Petrol,Hyundai
Maruti Alto LXi,2011,195000,46000,Petrol,Maruti
Maruti Alto LX,2010,125000,80000,Petrol,Maruti
Tata Tiago 1.2,2019,459999,10000,Petrol,Tata
Maruti Alto 800,2015,275000,16700,Petrol,Maruti
Maruti Swift Dzire,2018,680000,70000,Diesel,Maruti
Maruti Swift Dzire,2015,600000,7967,Petrol,Maruti
Maruti Swift ZXI,2018,720000,20000,Petrol,Maruti
Renault KWID RXT,2016,356000,9656,Petrol,Renault
Hyundai i10 Era,2011,225000,50000,Petrol,Hyundai
Ford Freestyle Titanium,2019,725000,17000,Diesel,Ford
Chevrolet Spark 1.0,2010,130000,50000,Petrol,Chevrolet
Renault KWID RXT,2015,300000,10000,Petrol,Renault
Hyundai i20 Sportz,2013,400000,43000,Petrol,Hyundai
Hyundai Verna 1.4,2013,550000,50000,Diesel,Hyundai
Maruti Wagon R,2006,120000,90000,Petrol,Maruti
Mahindra Xylo D4,2012,409999,100000,Diesel,Mahindra
Hyundai Santro Xing,2010,110000,80000,Petrol,Hyundai
Maruti Swift VXI,2019,610000,5000,Petrol,Maruti
Ford Ecosport 1.5,2016,515000,68609,Diesel,Ford
Ford EcoSport 1.5,2018,925000,33360,Diesel,Ford
Ford Figo Diesel,2012,225000,87237,Diesel,Ford
Ford Figo 1.5D,2017,500000,62960,Diesel,Ford
Maruti Swift Dzire,2017,600000,26634,Petrol,Maruti
Ford Figo Diesel,2012,195000,163720,Diesel,Ford
Maruti Wagon R,2012,265000,67998,Petrol,Maruti
Ford Freestyle Trend,2018,650000,20706,Diesel,Ford
Ford Figo Aspire,2015,415000,100581,Diesel,Ford
Renault Duster 85PS,2015,600000,67303,Diesel,Renault
Maruti Ritz VXi,2013,340000,79139,Petrol,Maruti
Hyundai Grand i10,2014,350000,84784,Diesel,Hyundai
Maruti Ritz LDi,2012,265000,130376,Diesel,Maruti
Tata Safari DICOR,2017,625000,72000,Diesel,Tata
Hyundai Verna CRDi,2008,245000,127000,Diesel,Hyundai
Maruti Swift VDI,2014,395000,120000,Diesel,Maruti
Hyundai Xcent 1.1,2014,490000,100000,Diesel,Hyundai
Maruti Ertiga SHVS,2018,955000,40000,Diesel,Maruti
Maruti Swift Dzire,2013,525000,110000,Diesel,Maruti
Tata Tigor 1.2,2017,550000,30000,Petrol,Tata
Tata Indica Vista,2014,200000,120000,Diesel,Tata
Ford Figo Aspire,2017,500000,15000,Petrol,Ford
Maruti SX4 S,2016,825000,33500,Diesel,Maruti
Mahindra Quanto C6,2012,250000,70000,Diesel,Mahindra
Toyota Etios Cross,2015,600000,10000,Petrol,Toyota
Mahindra Scorpio S7,2018,1325000,22053,Diesel,Mahindra
Mahindra TUV 300,2016,770000,50000,Diesel,Mahindra
Chevrolet Optra Magnum,2011,415000,78432,Diesel,Chevrolet
Hyundai Santa Fe,2011,825000,125000,Diesel,Hyundai
Ford Aspire Trend,2018,530000,80000,Diesel,Ford
Toyota Innova 2.5,2006,425000,270000,Diesel,Toyota
Honda Brio V,2012,310000,50000,Petrol,Honda
Tata Tiago 1.2,2017,390000,20000,Petrol,Tata
Hyundai Creta 1.6,2016,700000,30000,Petrol,Hyundai
Hyundai i10 Sportz,2010,200000,70000,Petrol,Hyundai
Toyota Innova 2.5,2013,1050000,7200,Diesel,Toyota
Honda City i,2014,580000,97000,Diesel,Honda
Hyundai EON Era,2014,200000,60000,Petrol,Hyundai
Chevrolet Sail Hatchback,2013,245000,25000,Petrol,Chevrolet
Hyundai i10 Sportz,2010,210000,94000,Petrol,Hyundai
Chevrolet Captiva 2.2,2012,700000,50000,Diesel,Chevrolet
Tata Bolt Quadrajet,2019,660000,35000,Diesel,Tata
Honda City i,2015,630000,117500,Petrol,Honda
Mahindra XUV500 W8,2012,950000,78500,Diesel,Mahindra
Hyundai i20 1.2,2018,740000,8000,Petrol,Hyundai
Ford Figo Aspire,2017,570000,25000,Petrol,Ford
Hyundai Verna 1.6,2012,450000,60000,Diesel,Hyundai
Ford Ikon 1.6,2009,180000,70000,Petrol,Ford
Tata Nano LX,2015,130000,60000,Petrol,Tata
Honda City 2017-2020,2006,270000,70000,Petrol,Honda
Hyundai Verna 1.6,2006,170000,90000,Petrol,Hyundai
Hyundai Creta 1.6,2015,978999,90000,Diesel,Hyundai
Tata Tiago 1.2,2018,490000,25000,Petrol,Tata
Ford Fiesta Diesel,2012,280000,60000,Diesel,Ford
Tata Tiago 1.2,2018,390000,25000,Petrol,Tata
Maruti Alto 800,2013,170000,60000,Petrol,Maruti
Chevrolet Spark 1.0,2008,45000,70000,Petrol,Chevrolet
Maruti Ertiga SHVS,2016,640000,80000,Diesel,Maruti
Mahindra Scorpio S2,2015,650000,110000,Diesel,Mahindra
Mahindra Scorpio LX,2013,500000,115717,Diesel,Mahindra
Ford Fusion Plus,2008,90000,110000,Diesel,Ford
Tata Aria Pure,2014,480000,70000,Diesel,Tata
Maruti Swift VXI,2019,630000,4000,Petrol,Maruti
Hyundai i10 Sportz,2011,250000,50000,Petrol,Hyundai
Hyundai Grand i10,2016,330000,70000,Petrol,Hyundai
Hyundai i10 Magna,2009,180000,70000,Petrol,Hyundai
Hyundai i20 Magna,2010,210000,50000,Petrol,Hyundai
Maruti Swift Dzire,2016,550000,55000,Diesel,Maruti
Tata Nexon 1.2,2020,950000,5000,Petrol,Tata
Mahindra Bolero 2011-2019,2013,430000,100000,Diesel,Mahindra
Hyundai i10 Sportz,2014,348000,23000,Petrol,Hyundai
Maruti Alto 800,2014,196000,60000,Petrol,Maruti
Maruti Wagon R,2010,150000,70000,Petrol,Maruti
Maruti Wagon R,2009,150000,60000,Petrol,Maruti
Tata Safari Storme,2019,1250000,100000,Diesel,Tata
Maruti Ertiga VDI,2015,600000,90000,Diesel,Maruti
Tata Nano Lx,2010,65000,26432,Petrol,Tata
Maruti Omni E,2016,220000,46702,Petrol,Maruti
Maruti Omni E,2016,220000,46706,Petrol,Maruti
Tata Indica V2,2006,110000,53523,Petrol,Tata
Chevrolet Beat Diesel,2012,175000,56365,Diesel,Chevrolet
Chevrolet Spark 1.0,2011,160000,49563,Petrol,Chevrolet
Maruti Alto LXi,2007,120000,53512,Petrol,Maruti
Mahindra Ssangyong Rexton,2013,1000000,40000,Diesel,Mahindra
Maruti Wagon R,2010,220000,46533,Petrol,Maruti
Maruti Omni 8,2008,114999,58632,Petrol,Maruti
Mahindra XUV500 AT,2016,850000,80000,Diesel,Mahindra
Maruti Ertiga SHVS,2016,750000,70000,Diesel,Maruti
Renault KWID 1.0,2017,265000,90000,Petrol,Renault
Ford Classic 1.6,2014,450000,110000,Petrol,Ford
Mahindra Quanto C6,2013,225000,90000,Diesel,Mahindra
Mahindra Scorpio S10,2015,1125000,70000,Diesel,Mahindra
Maruti Swift VXI,2009,270000,80000,Petrol,Maruti
